race,rent_monthly,monthly_income_gross,income_verified,income_stability,savings_buffer_months,guarantor_available,verified_rental_debt_flag,credit_score,rent_history_reported,rent_on_time_rate_12m,rent_late_or_nsf_count_12m,utility_on_time_rate_12m,approved
Indigenous,934.87,3539.68,1,0.8443,3.27,0,0,651,1,0.9471,1.0,0.9678,1
White,1884.23,4302.51,1,0.6841,3.51,1,0,648,1,0.8385,0.0,,1
Black,1423.26,5719.37,1,0.7726,0.68,0,0,606,0,,,,1
Asian,1395.32,4173.47,1,0.6909,1.76,0,0,630,0,,,,1
White,2054.04,4717.27,1,0.8319,2.66,1,0,708,1,0.9366,1.0,0.8782,1
Other,2126.69,6068.64,0,0.7433,0.25,1,0,652,1,0.9681,0.0,0.9724,1
Indigenous,1460.1,4602.45,0,0.8651,1.74,1,0,639,0,,,,1
Indigenous,1761.84,5628.14,1,0.6079,6.44,0,0,713,1,0.9612,0.0,0.8205,1
White,2509.05,9080.36,0,0.9721,1.06,0,0,697,1,0.9441,0.0,0.8944,1
White,1632.55,4896.44,1,0.261,1.02,1,0,666,0,,,0.9742,1
White,2220.46,7857.17,1,0.7675,1.93,0,0,711,1,0.9837,0.0,0.9539,1
Other,1944.63,6324.55,1,0.7525,2.03,0,0,684,1,0.9569,1.0,0.9486,1
Asian,733.38,3111.56,1,0.5594,1.61,0,0,648,1,0.9637,0.0,0.8499,1
Indigenous,1080.9,3535.7,1,0.8012,3.56,1,0,698,1,0.9971,0.0,0.8471,1
White,1103.75,3884.13,1,0.7175,0.43,0,0,646,1,0.8745,0.0,,1
White,1776.21,3855.37,1,0.6893,0.99,0,0,675,0,,,,1
Asian,1331.37,5038.24,1,0.8604,1.75,0,0,670,1,0.983,0.0,0.9483,1
White,2282.71,6448.09,1,0.6758,4.05,0,1,712,1,0.9109,0.0,0.9569,1
Indigenous,3453.34,8068.47,1,0.8774,1.3,1,0,691,1,0.9586,0.0,0.9104,1
Asian,1536.15,5792.24,0,0.836,0.91,0,0,661,1,0.8993,3.0,0.9232,1
Indigenous,1645.47,4448.96,1,0.7092,0.31,1,0,668,0,,,,1
White,1076.98,2508.97,1,0.5409,0.83,0,0,715,1,0.9118,1.0,0.9511,1
Other,1916.8,5330.07,1,0.9117,0.35,1,0,717,1,0.9497,0.0,,1
Black,1518.16,5247.11,1,0.7095,1.23,1,0,634,0,,,0.6616,1
Indigenous,2128.52,5543.82,1,0.9318,2.84,0,0,671,0,,,0.9625,1
White,4259.24,10868.22,1,0.8767,2.52,0,0,681,1,0.8995,1.0,0.9253,1
White,2800.63,8027.45,1,0.6685,2.93,0,0,718,1,0.9487,0.0,,1
White,1872.26,6844.39,0,0.7743,0.72,0,0,652,0,,,0.8586,1
White,1086.34,3713.34,0,0.9179,0.52,0,0,736,1,0.976,1.0,,1
Asian,1909.05,4345.37,1,0.8521,2.42,1,0,682,1,0.9367,1.0,0.8282,1
Asian,1557.89,5030.22,1,0.6811,3.37,1,0,617,1,0.9198,1.0,,1
Other,941.98,3964.05,0,0.7249,1.93,0,0,683,1,0.9553,1.0,0.8792,1
White,2142.14,6195.49,1,0.8944,2.55,0,0,635,1,0.9332,2.0,0.8678,1
White,2536.43,5891.89,0,0.8359,1.84,1,0,635,0,,,0.9248,1
White,839.94,3552.85,1,0.8114,1.36,0,0,676,1,0.9545,1.0,0.8611,1
White,2261.89,7905.39,1,0.6362,1.54,1,0,666,0,,,,1
White,1967.3,5389.58,1,0.8906,3.33,0,0,635,0,,,,1
White,1387.41,2839.09,1,0.9481,1.82,0,0,716,1,0.8354,0.0,,1
White,1722.6,5107.39,1,0.9761,3.31,0,0,675,1,0.9224,1.0,0.9674,1
Asian,2713.53,5737.83,1,0.8747,2.14,0,0,640,0,,,0.9304,1
White,2155.79,7309.22,1,0.7324,1.21,0,0,683,0,,,,1
Black,1487.84,4620.68,1,0.6459,2.66,0,0,659,0,,,0.9875,1
Asian,2351.5,6947.88,1,0.4167,1.86,0,0,632,1,0.9661,1.0,0.8427,1
White,1970.09,5552.0,1,0.6396,3.83,1,0,648,1,0.9448,0.0,0.9407,1
Black,1166.29,3281.79,1,0.9289,1.02,0,0,709,0,,,0.9703,1
Indigenous,1308.55,3168.79,1,0.6822,0.35,0,0,667,1,0.9453,2.0,0.9945,1
White,2417.09,7702.57,1,0.8308,2.85,0,0,647,0,,,0.9926,1
White,2948.34,7903.08,0,0.7324,4.36,0,0,742,1,0.995,0.0,0.9002,1
Asian,1692.78,5822.19,1,0.8765,3.36,0,0,648,0,,,,1
White,3181.2,8777.19,1,0.5693,4.59,0,0,661,1,0.9309,1.0,,1
White,2392.57,7526.82,1,0.8138,5.23,1,0,649,0,,,0.9015,1
White,2480.51,6605.67,1,0.9009,1.68,0,0,623,1,0.7994,2.0,0.9293,1
Indigenous,890.08,3779.91,1,0.6017,0.86,0,0,645,0,,,0.9504,1
Asian,4392.75,9532.04,1,0.6172,0.13,0,0,694,1,0.9617,0.0,,1
Asian,2826.25,6273.69,0,0.8297,0.39,0,1,708,1,0.9748,0.0,,1
Indigenous,1884.07,4543.12,0,0.9269,2.76,1,0,683,1,0.966,0.0,0.8677,1
White,1797.29,4115.52,0,0.693,0.42,0,0,654,1,0.8509,1.0,0.9487,1
Asian,1503.21,5688.99,1,0.8919,2.3,0,0,674,1,0.883,0.0,,1
White,1135.23,2897.33,0,0.7754,2.89,0,0,781,1,0.9932,0.0,,1
White,2172.0,6642.87,1,0.6116,1.99,0,0,709,1,0.9743,0.0,,1
Asian,1660.77,3724.41,1,0.9859,1.51,1,0,597,1,0.9528,0.0,0.9661,1
White,1823.78,5920.21,1,0.7648,0.97,0,0,686,1,0.9703,0.0,0.8705,0
Asian,1239.87,4332.27,1,0.963,4.79,0,0,603,0,,,0.9553,1
Indigenous,1701.26,4740.36,1,0.9671,0.17,0,0,654,1,0.8994,1.0,,1
