race,voucher,credit_score,eviction_history,criminal_history,income_stability,monthly_income,approved,employment_years,savings_ratio,rental_history_years
Black,1,659.1595687621879,1,0,56.62634469900177,2275.2028820653763,2.8152305207868866,2.660662994089502,0.11822184906270045,2.002961079947201
White,1,802.9591145241176,0,0,67.89767144356536,2615.087927327526,4.395915741303005,6.8771430796911694,0.16131042731153125,5.296602948293229
Black,0,707.521493914565,0,0,84.845207658487,4861.988607764758,5.460076092572775,12.252578510390457,0.16715330892603453,2.429504454343598
White,0,712.3456579492945,1,0,76.93548199988811,4787.705540870743,4.709597520645257,10.63621241578398,0.08893010055691183,0.0
Black,1,593.2975444519672,1,0,65.70882292171468,1617.5373293830125,3.0993551619143354,6.486394689849867,0.19048207489383095,2.1675877537161874
Hispanic,0,621.8774049199387,0,0,73.36938720273025,3087.935548864468,4.199216794271895,5.469451733427466,0.11688333045796957,7.366504127082896
White,0,726.5424746378469,1,0,74.57884213317118,4161.9704039851595,4.419367664168886,5.604972774641565,0.08305490282716403,3.6460934473637914
White,0,680.733678389097,0,0,85.38469387254494,4600.803530151576,5.117132425522185,4.549090905562177,0.04217073215184007,6.982511795423958
White,0,780.1346023037189,0,1,78.40057851701167,6014.399032441865,4.945091094241182,6.241840701025448,0.09661575294146078,2.0065960920480683
White,1,789.9346645496712,0,0,59.68124207097731,2175.8082213160997,3.822464343641744,6.552471976965671,0.05200229797908584,5.243728819334215
Black,1,549.6759339502398,1,0,57.08919273477755,2119.038519236121,2.6614350127855007,6.058747139430471,0.15000167235046913,2.5058834155898735
White,1,728.1851179882885,1,0,69.81495320567124,2813.0761248927142,4.136785487237297,8.002725009640466,0.07755725829624566,4.756523182166299
White,0,610.838068269248,0,0,65.80142465415028,4363.991391422206,3.8907861471933747,4.05798550892478,0.15255185149231143,7.091495123973562
Hispanic,0,569.6337577148843,0,0,80.91320160573844,2797.750595141932,4.2875684128205975,5.6872152247949215,0.14365194329465464,4.20675951070998
White,0,727.3318683282982,0,0,91.62261110571157,4915.308041758874,5.570633994778784,6.912733060523969,0.14880977951865593,1.6114749482812296
Hispanic,0,624.6374588294965,0,0,83.17686313054554,3912.4285285348205,4.558490097819401,2.1909632307873723,0.09639859256105549,4.185554906868508
White,0,828.8888792599222,0,0,78.41358973956899,4129.261126390961,5.340922222946987,9.841998328433638,0.19991397667283933,3.7563987814162294
Black,1,568.6331846733303,1,0,43.81153481868626,1781.7618810216181,1.7256156678450072,1.9578041955254486,0.13760443110565837,1.4006673905337321
Hispanic,0,598.8682897379205,0,0,43.00735354787822,2667.267004824771,2.5136474323840243,8.829006434703665,0.06245194037359635,1.1841711424701198
Hispanic,1,699.5534777487181,0,0,84.22555574595944,2700.2653832226224,4.838984213853965,5.088993671424074,0.11910984915667817,5.763063312439817
Hispanic,0,656.1266641508265,0,0,81.20875415906747,3785.534306740586,4.662266649523361,5.191737252016139,0.11404822593958852,3.28259947721999
